source,type,field,value,page,commentary
Table 1,Table Data,Page_Number,2,2,"February 27, 2025 (Page 1, Confidence: 99.37%, Similarity: 100%)"
Table 1,Table Data,Confidence,99.95%,2,"ahead, we are confident in our ability to keep growing positive Adjusted EBITDA¹ throughout 2025 as we (Page 1, Confidence: 97.34%, Similarity: 80%)"
Table 1,Table Data,MAU_Global_Q4_2024,79.6 million,2,"79.6 million (Page 1, Confidence: 99.86%, Similarity: 100%)"
Table 1,Table Data,MAU_Global_Q4_2023,61.4 million,2,"8.4 million (Page 1, Confidence: 98.6%, Similarity: 100%)"
Table 1,Table Data,MAU_Global_YoY_Growth,30%,2,"Total MAU increased 30% YoY to approximately (Page 1, Confidence: 99.82%, Similarity: 100%)"
Table 1,Table Data,MAU_US_Q4_2024,43.7 million,2,"$371 million (Page 1, Confidence: 99.63%, Similarity: 97%)"
Table 1,Table Data,MAU_US_Q4_2023,36.8 million,2,"2.8 million (Page 1, Confidence: 99.55%, Similarity: 100%)"
Table 1,Table Data,MAU_US_YoY_Growth,19%,2,", up 22% year-over-year, while keeping total operating expenses growth at 14% YoY, which (Page 1, Confidence: 99.63%, Similarity: 87%)"
Table 1,Table Data,MAU_International_Q4_2024,36.0 million,2,"0.6 million (Page 1, Confidence: 99.78%, Similarity: 100%)"
Table 1,Table Data,MAU_International_Q4_2023,24.6 million,2,"0.6 million (Page 1, Confidence: 99.78%, Similarity: 100%)"
Table 1,Table Data,MAU_International_YoY_Growth,46%,2,"International (Page 2, Confidence: 99.74%, Similarity: 100%)"
Table 1,Table Data,MAU_ANZ_Q4_2024,2.7 million,2,"2.3 million (Page 1, Confidence: 99.26%, Similarity: 100%)"
Table 1,Table Data,MAU_ANZ_Q4_2023,2.0 million,2,"2.3 million (Page 1, Confidence: 99.26%, Similarity: 100%)"
Table 1,Table Data,MAU_ANZ_YoY_Growth,35%,2,"in annual revenue, and exceeding a 35% Adjusted EBITDA margin. By keeping (Page 1, Confidence: 99.62%, Similarity: 100%)"
Table 1,Table Data,Paying_Circles_Global_Q4_2024,2.3 million,2,"2.3 million (Page 1, Confidence: 99.26%, Similarity: 100%)"
Table 1,Table Data,Paying_Circles_Global_Q4_2023,1.8 million,2,"8.5 million (Page 1, Confidence: 96.86%, Similarity: 100%)"
Table 1,Table Data,Paying_Circles_Global_YoY_Growth,25%,2,"25% YoY to (Page 2, Confidence: 99.82%, Similarity: 100%)"
Table 1,Table Data,Paying_Circles_US_Q4_2024,1.6 million,2,"79.6 million (Page 1, Confidence: 99.86%, Similarity: 100%)"
Table 1,Table Data,Paying_Circles_US_Q4_2023,1.3 million,2,"2.3 million (Page 1, Confidence: 99.26%, Similarity: 100%)"
Table 1,Table Data,Paying_Circles_US_YoY_Growth,23%,2,"Paying Circles - Global6 (Page 2, Confidence: 95.53%, Similarity: 91%)"
Table 1,Table Data,Paying_Circles_International_Q4_2024,0.6 million,2,"79.6 million (Page 1, Confidence: 99.86%, Similarity: 100%)"
Table 1,Table Data,Paying_Circles_International_Q4_2023,0.5 million,2,"115.5 million (Page 1, Confidence: 99.8%, Similarity: 100%)"
Table 1,Table Data,Paying_Circles_International_YoY_Growth,33%,2,"Total Quarterly Revenue Grew 33% Year-Over-Year to $ (Page 1, Confidence: 99.8%, Similarity: 100%)"
Table 1,Table Data,ARPPC_Q4_2024,$131.76,2,
Table 1,Table Data,ARPPC_Q4_2023,$124.17,2,
Table 1,Table Data,ARPPC_YoY_Growth,6%,2,", up 36% YoY. (Page 1, Confidence: 97.43%, Similarity: 100%)"
Table 1,Table Data,Subscriptions_Q4_2024,2.9 million,2,"2.3 million (Page 1, Confidence: 99.26%, Similarity: 100%)"
Table 1,Table Data,Subscriptions_Q4_2023,2.4 million,2,"2.3 million (Page 1, Confidence: 99.26%, Similarity: 100%)"
Table 1,Table Data,Subscriptions_YoY_Growth,19%,2,"Subscriptions (Page 2, Confidence: 89.25%, Similarity: 100%)"
Table 1,Table Data,ARPPS_Q4_2024,$110.43,2,
Table 1,Table Data,ARPPS_Q4_2023,$102.17,2,
Table 1,Table Data,ARPPS_YoY_Growth,8%,2,", up 38% YoY. (Page 1, Confidence: 99.22%, Similarity: 100%)"
Table 1,Table Data,Net_Hardware_Units_Shipped_Q4_2024,1.9 million,2,"21.2 million (Page 1, Confidence: 98.6%, Similarity: 100%)"
Table 1,Table Data,Net_Hardware_Units_Shipped_Q4_2023,1.7 million,2,"73.1 million (Page 1, Confidence: 97.43%, Similarity: 100%)"
Table 1,Table Data,ASP_Q4_2024,$12.56,2,"""Life360 made remarkable strides in Q4 2024, capping off the year with our best-ever holiday period and (Page 1, Confidence: 99.75%, Similarity: 83%)"
Table 1,Table Data,ASP_Q4_2023,$11.50,2,
Table 1,Table Data,Annualized_Monthly_Revenue_Q4_2024,$367.6 million,2,"79.6 million (Page 1, Confidence: 99.86%, Similarity: 100%)"
Table 1,Table Data,Annualized_Monthly_Revenue_Q4_2023,$274.1 million,2,"Monthly Active Users (MAUs), Paying Circles, Subscription Revenue, and Annualized Monthly Revenue. (Page 1, Confidence: 99.57%, Similarity: 100%)"
Table 1,Table Data,Annualized_Monthly_Revenue_YoY_Growth,34%,2,"Annualized Monthly Revenue increased 34% Year-Over-Year to $ (Page 1, Confidence: 99.79%, Similarity: 100%)"
Table 2,Table Data,Page_2_Average_Revenue_Per_Paying_Circle_FY_2024,$ 128.00,2,"Average Revenue per Paying Circle (ARPPC)7,8 (Page 2, Confidence: 95.68%, Similarity: 100%)"
Table 2,Table Data,Page_2_Average_Revenue_Per_Paying_Circle_FY_2023,$ 121.09,2,"Average Revenue per Paying Circle (ARPPC)7,8 (Page 2, Confidence: 95.68%, Similarity: 100%)"
Table 2,Table Data,Page_2_ARPPC_YoY_Growth,6%,2,", up 36% YoY. (Page 1, Confidence: 97.43%, Similarity: 100%)"
Table 2,Table Data,Page_2_Average_Revenue_Per_Paying_Subscription_FY_2024,$ 106.16,2,"Subscriptions (Page 2, Confidence: 89.25%, Similarity: 100%)"
Table 2,Table Data,Page_2_Average_Revenue_Per_Paying_Subscription_FY_2023,$ 99.53,2,"Subscriptions (Page 2, Confidence: 89.25%, Similarity: 100%)"
Table 2,Table Data,Page_2_ARPPS_YoY_Growth,7%,2,"Q4'24 global Paying Circle net additions of 69 thousand were up 27% YoY. Total Paying Circles grew (Page 2, Confidence: 99.75%, Similarity: 100%)"
Table 2,Table Data,Page_2_Net_Hardware_Units_Shipped_FY_2024,3.9,2,"Net hardware units shipped 11 (Page 2, Confidence: 96.81%, Similarity: 100%)"
Table 2,Table Data,Page_2_Net_Hardware_Units_Shipped_FY_2023,4,2,"Net hardware units shipped 11 (Page 2, Confidence: 96.81%, Similarity: 100%)"
Table 2,Table Data,Page_2_Hardware_Units_YoY_Growth,-4%,2,", up 22% year-over-year, while keeping total operating expenses growth at 14% YoY, which (Page 1, Confidence: 99.63%, Similarity: 87%)"
Table 2,Table Data,Page_2_Average_Selling_Price_FY_2024,$ 13.72,2,"Average Selling Price (ASP) 12,13 (Page 2, Confidence: 98.84%, Similarity: 97%)"
Table 2,Table Data,Page_2_Average_Selling_Price_FY_2023,$ 13.48,2,"Average Selling Price (ASP) 12,13 (Page 2, Confidence: 98.84%, Similarity: 100%)"
Table 2,Table Data,Page_2_ASP_YoY_Growth,2%,2,", up 22% year-over-year, while keeping total operating expenses growth at 14% YoY, which (Page 1, Confidence: 99.63%, Similarity: 100%)"
Key-Value Pairs,Structured Data,ARBN,629 412 942,N/A,"ARBN 629 412 942 1900 South Norfolk St, Suite 310 San Mateo, CA 94403 investors.life360.com (Page 1, Confidence: 96.65%, Similarity: 100%)"
Key-Value Pairs,Structured Data,Growth Percentage,33%,N/A,"Total Quarterly Revenue Grew 33% Year-Over-Year to $ (Page 1, Confidence: 99.8%, Similarity: 100%)"
Key-Value Pairs,Structured Data,Average Selling Price (ASP),"12,13",N/A,"Average Selling Price (ASP) 12,13 (Page 2, Confidence: 98.84%, Similarity: 100%)"
Key-Value Pairs,Structured Data,Note,The financial information in this announcement may not add or recalculate due to rounding. All references to $ are to U.S. dollars.,N/A,"Note: The financial information in this announcement may not add or recalculate due to rounding. All references to $ are to U.S. dollars. (Page 1, Confidence: 99.7%, Similarity: 100%)"
